Date,Open,High,Low,Close,Adj Close,Volume
2022-11-06,10.193102,10.383194,9.316716,9.396442,9.396442,107963695535
2022-11-07,9.398048,9.742431,8.897487,9.107145,9.107145,109481670802
2022-11-08,9.105431,9.187483,6.563107,7.197085,7.197085,288650569922
2022-11-09,7.196649,7.405371,5.869216,6.042849,6.042849,228397396479
2022-11-10,6.043542,7.533135,5.997932,7.226503,7.226503,194916591826
2022-11-11,7.225720,7.398186,6.559231,6.837334,6.837334,105130802389
2022-11-12,6.839231,7.571010,6.387494,7.091327,7.091327,148405674338
2022-11-13,7.092385,7.340841,6.749061,6.836248,6.836248,76467956295
2022-11-14,6.838928,7.368246,6.456984,6.955542,6.955542,98217694386
2022-11-15,6.955525,7.195169,6.913551,7.050900,7.050900,51892668210
2022-11-16,7.050281,7.372754,6.838460,6.974599,6.974599,58092149989
2022-11-17,6.975545,7.082811,6.802182,6.910493,6.910493,37636473799
2022-11-18,6.910398,7.053283,6.839542,6.902502,6.902502,27511873356
2022-11-19,6.902474,6.921458,6.797727,6.895072,6.895072,20107874343
2022-11-20,6.895143,6.984805,6.280541,6.291226,6.291226,40681120970
2022-11-21,6.291334,6.292351,5.918558,6.105979,6.105979,53945456790
2022-11-22,6.105758,6.446860,5.995221,6.413706,6.413706,45465746606
2022-11-23,6.414634,6.798314,6.376831,6.676488,6.676488,43244863028
2022-11-24,6.676972,6.828889,6.595711,6.653356,6.653356,29422721441
2022-11-25,6.652374,7.428296,6.608948,7.307439,7.307439,83506172979
2022-11-26,7.306600,7.737416,7.218909,7.267658,7.267658,73671448693
2022-11-27,7.266874,8.692344,7.266874,8.061678,8.061678,160501234047
2022-11-28,8.058782,8.111930,7.468330,7.766740,7.766740,112318522134
2022-11-29,7.767489,8.548405,7.676768,8.314360,8.314360,110400139933
2022-11-30,8.312282,8.857993,8.171249,8.688283,8.688283,112902737285
2022-12-01,8.688075,8.730658,8.209902,8.244790,8.244790,72367617552
2022-12-02,8.245608,8.381650,7.959767,8.317016,8.317016,63184223248
2022-12-03,8.317190,8.372030,8.032305,8.128799,8.128799,51474068189
2022-12-04,8.127729,8.570791,8.127323,8.491520,8.491520,61819597356
2022-12-05,8.488757,9.069921,8.194722,8.310833,8.310833,86104703229
2022-12-06,8.311313,8.396957,8.125494,8.260176,8.260176,44040278833
2022-12-07,8.260393,8.323239,7.815528,7.878517,7.878517,51189501810
2022-12-08,7.878640,8.135242,7.856951,8.107794,8.107794,40556263460
2022-12-09,8.107641,8.152241,7.914627,7.968846,7.968846,34907820556
2022-12-10,7.968902,8.026011,7.935561,7.952012,7.952012,19966444736
2022-12-11,7.952582,8.004498,7.638410,7.655484,7.655484,24767143933
2022-12-12,7.655272,7.669809,7.205704,7.459385,7.459385,61968693312
2022-12-13,7.459147,7.789721,7.254061,7.493622,7.493622,63148988897
2022-12-14,7.495149,7.608636,7.289474,7.302062,7.302062,45316592697
2022-12-15,7.301543,7.322935,6.994758,7.019875,7.019875,34167705719
2022-12-16,7.019901,7.182939,6.233243,6.279032,6.279032,57822944856
2022-12-17,6.279230,6.563031,6.274971,6.554049,6.554049,40973567018
2022-12-18,6.553623,6.603528,6.442717,6.504942,6.504942,21255905567
2022-12-19,6.505546,6.564265,5.856824,5.898811,5.898811,48044202064
2022-12-20,5.899811,6.213485,5.898224,6.192392,6.192392,36203263645
2022-12-21,6.192142,6.194846,5.956392,6.106440,6.106440,28993565430
2022-12-22,6.106332,6.403917,6.069661,6.378650,6.378650,49151892566
2022-12-23,6.378155,6.516656,6.339144,6.371150,6.371150,32946127000
2022-12-24,6.371107,6.441191,6.345463,6.414038,6.414038,13634311929
2022-12-25,6.412728,6.413757,6.131640,6.279516,6.279516,35045148333
2022-12-26,6.280606,6.323605,6.198817,6.282636,6.282636,20637557017
2022-12-27,6.280971,6.302462,6.056773,6.102442,6.102442,24040117631
2022-12-28,6.102697,6.110510,5.803972,5.831267,5.831267,41123879052
2022-12-29,5.831184,5.906123,5.778556,5.884772,5.884772,23620100440
2022-12-30,5.883953,5.906776,5.541855,5.660393,5.660393,34745870899
2022-12-31,5.659579,5.885681,5.640434,5.818205,5.818205,23951125952
2023-01-01,5.817665,5.850610,5.735004,5.811029,5.811029,15331735524
2023-01-02,5.811032,5.985398,5.739022,5.909670,5.909670,33562174724
2023-01-03,5.909857,5.976672,5.779590,5.833303,5.833303,23459576040
2023-01-04,5.833286,6.055317,5.820182,6.054246,6.054246,28376463943
2023-01-05,6.053916,6.205597,5.900891,5.913252,5.913252,35118330624
2023-01-06,5.913666,5.967236,5.821387,5.962337,5.962337,25250972903
2023-01-07,5.962309,5.993131,5.913541,5.941993,5.941993,14291225145
2023-01-08,5.940942,6.056327,5.886334,6.055449,6.055449,20250342449
2023-01-09,6.054671,6.505106,6.027231,6.227983,6.227983,70157677572
2023-01-10,6.226763,6.345805,6.142607,6.345577,6.345577,40243468568
2023-01-11,6.346005,6.382095,6.135243,6.379824,6.379824,32189049439
2023-01-12,6.466381,6.586408,6.265401,6.512429,6.512429,57332226320
2023-01-13,6.512281,6.902430,6.452368,6.863554,6.863554,46742125746
2023-01-14,6.863662,7.467696,6.857396,7.098059,7.098059,89500130768
2023-01-15,7.098907,7.127518,6.757169,7.001137,7.001137,40733706262
2023-01-16,7.000852,7.136873,6.720489,6.829114,6.829114,43853109171
2023-01-17,6.830461,6.912966,6.764989,6.765152,6.765152,29874085678
2023-01-18,6.764842,7.272483,6.529036,6.530431,6.530431,89121502345
2023-01-19,6.528841,6.664960,6.525657,6.634091,6.634091,27456754929
2023-01-20,6.633186,7.025522,6.556350,6.996591,6.996591,35989245633
2023-01-21,6.997016,7.183104,6.863637,6.863932,6.863932,57983622591
2023-01-22,6.864459,7.522064,6.864459,7.150362,7.150362,64351497885
2023-01-23,7.150803,7.378880,7.110392,7.220304,7.220304,53886033063
2023-01-24,7.218004,7.396072,6.826837,6.850521,6.850521,45687520327
2023-01-25,6.851784,7.162491,6.727850,7.057666,7.057666,44217061642
2023-01-26,7.055615,7.112259,6.972197,7.034723,7.034723,34548878568
2023-01-27,7.034072,7.152249,6.888174,7.101818,7.101818,32610426331
2023-01-28,7.101892,7.578323,7.101892,7.156082,7.156082,52360194292
2023-01-29,7.155716,7.406394,7.136175,7.355223,7.355223,37345957673
2023-01-30,7.354244,7.487850,6.959721,7.206535,7.206535,64214370133
2023-01-31,7.205889,7.959121,7.205889,7.863474,7.863474,126159972894
2023-02-01,7.862606,7.898750,7.275279,7.694758,7.694758,90723913082
2023-02-02,7.692632,7.824026,7.462696,7.464464,7.464464,63713455081
2023-02-03,7.464876,7.688952,7.450231,7.670634,7.670634,45260576853
2023-02-04,7.669697,8.210327,7.643925,7.901134,7.901134,88418287928
2023-02-05,7.898259,7.978988,7.503878,7.584535,7.584535,62043589264
2023-02-06,7.585262,7.690207,7.370402,7.410633,7.410633,40410400156
2023-02-07,7.409670,7.664710,7.408065,7.659930,7.659930,42411194736
2023-02-08,7.659003,7.706499,7.374765,7.452285,7.452285,38265340365
2023-02-09,7.452813,7.503618,6.616498,6.724703,6.724703,67594165647
2023-02-10,6.724578,6.835814,6.633800,6.689492,6.689492,42630430885
2023-02-11,6.687518,6.806473,6.664604,6.794787,6.794787,20138994368
2023-02-12,6.793354,7.046136,6.742783,6.777872,6.777872,37025175845
2023-02-13,6.777852,7.134016,6.608623,6.785902,6.785902,62121395648
2023-02-14,6.784899,6.931611,6.725751,6.922293,6.922293,35439605675
2023-02-15,6.922350,7.393325,6.868863,7.388025,7.388025,70057965830
2023-02-16,7.387229,7.552157,7.025599,7.032109,7.032109,70264382045
2023-02-17,7.033001,7.321740,7.004223,7.268338,7.268338,37040213616
2023-02-18,7.267750,7.438492,7.202702,7.364404,7.364404,32953289167
2023-02-19,7.364336,7.431562,7.145702,7.197787,7.197787,41812410303
2023-02-20,7.200110,7.329747,7.105691,7.294637,7.294637,37206284836
2023-02-21,7.295806,7.340806,7.029622,7.077460,7.077460,40042931660
2023-02-22,7.077903,7.249047,6.896954,7.085230,7.085230,63384310823
2023-02-23,7.085349,7.148461,6.934357,6.963999,6.963999,29030697460
2023-02-24,6.963711,7.014273,6.625466,6.709358,6.709358,37248630699
2023-02-25,6.710526,6.782207,6.556455,6.699752,6.699752,26233387046
2023-02-26,6.698935,6.839658,6.682419,6.817223,6.817223,18098506534
2023-02-27,6.817205,6.817205,6.630453,6.724124,6.724124,22070669712
2023-02-28,6.724465,6.836174,6.627878,6.672755,6.672755,30633836635
2023-03-01,6.673840,6.812186,6.655898,6.755525,6.755525,21470536008
