Date,Open,High,Low,Close,Adj Close,Volume
2022-11-06,133406.406250,133917.078125,128905.609375,128905.609375,128905.609375,953754534741
2022-11-07,128887.750000,131200.203125,127560.289063,128351.953125,128351.953125,1250302207983
2022-11-08,128330.546875,128856.976563,102484.859375,108500.078125,108500.078125,3422936599603
2022-11-09,108523.437500,108756.179688,88118.851563,89492.273438,89492.273438,3161395487287
2022-11-10,89487.187500,108430.890625,88919.023438,104584.937500,104584.937500,2300287651875
2022-11-11,104538.085938,104882.484375,97545.406250,103683.273438,103683.273438,1685110679551
2022-11-12,103700.773438,103758.164063,100053.062500,101108.289063,101108.289063,883196500745
2022-11-13,101122.210938,102432.820313,97342.914063,98390.453125,98390.453125,863053411472
2022-11-14,98396.593750,104281.101563,94993.234375,100560.445313,100560.445313,1217155924248
2022-11-15,100566.398438,103639.976563,100352.476563,101480.257813,101480.257813,956483676766
2022-11-16,101486.140625,102644.742188,97137.296875,99066.195313,99066.195313,973021079486
2022-11-17,99086.250000,99778.906250,97203.148438,97896.218750,97896.218750,792722742034
2022-11-18,97895.695313,100012.843750,97895.695313,98826.835938,98826.835938,650523336561
2022-11-19,98819.929688,100093.414063,97862.953125,99326.273438,99326.273438,487387953528
2022-11-20,99327.046875,99786.945313,92764.484375,93134.054688,93134.054688,786751186448
2022-11-21,93128.273438,93128.273438,88667.820313,90583.429688,90583.429688,1150737700383
2022-11-22,90546.070313,92864.570313,88266.468750,92760.968750,92760.968750,983906336623
2022-11-23,92781.242188,96735.296875,92448.343750,96588.664063,96588.664063,917778443972
2022-11-24,96600.546875,98979.664063,96415.023438,98312.031250,98312.031250,792580145493
2022-11-25,98297.023438,98297.023438,95741.976563,97916.148438,97916.148438,447821177169
2022-11-26,97905.085938,100212.085938,97848.523438,98485.562500,98485.562500,414406185317
2022-11-27,98486.164063,99665.820313,97597.664063,97604.835938,97604.835938,366446976613
2022-11-28,97591.234375,97951.906250,94411.570313,95538.179688,95538.179688,594041380673
2022-11-29,95520.890625,99772.234375,94998.578125,99336.984375,99336.984375,623613100243
2022-11-30,99339.226563,105862.710938,99222.429688,105346.539063,105346.539063,799795589260
2022-12-01,105353.117188,105371.851563,102975.140625,103585.515625,103585.515625,556606794685
2022-12-02,103589.953125,105384.125000,102999.734375,105384.125000,105384.125000,505924354111
2022-12-03,105396.593750,105834.953125,101091.664063,101246.625000,101246.625000,461929092785
2022-12-04,101237.203125,104345.757813,101212.171875,104245.140625,104245.140625,421304397598
2022-12-05,104224.148438,106400.242188,102572.218750,103168.718750,103168.718750,501263271520
